address,cysFLR_snapshot1,cysFLR_snapshot2,cysFLR_average,cysFLR_penalty,cysFLR_bounty,cysFLR_final,cysFLR_rewards,cyWETH_snapshot1,cyWETH_snapshot2,cyWETH_average,cyWETH_penalty,cyWETH_bounty,cyWETH_final,cyWETH_rewards,total_rewards
0x4388b708d8a8a2dd0fe5f5d4ffe0c80d603d2601,209389836879922171276,209389836879922171276,209389836879922171276,0,0,209389836879922171276,554929352702957392335,502543377178220997094,502543377178220997094,502543377178220997094,0,0,502543377178220997094,2581128873704850309323,3136058226407807701658
0x99a144ddbc8a0e2938878c2655fc1ce9620639f7,1156313150507269744415,1156313150507269744415,1156313150507269744415,0,0,1156313150507269744415,3064485448264107041378,0,0,0,0,0,0,0,3064485448264107041378
0x518dd771365a99d1a78f52857d3e12aca4c4654c,936471091188288634170,936471091188288634170,936471091188288634170,0,0,936471091188288634170,2481855395666433443599,96142127476652629000,96142127476652629000,96142127476652629000,0,0,96142127476652629000,493798610187226209774,2975654005853659653373
0xac99c545a7922fa1978ba020cad7f73cad1ff8ed,1108125622416495539080,1108125622416495539080,1108125622416495539080,0,0,1108125622416495539080,2936777847120581830594,0,0,0,0,0,0,0,2936777847120581830594
0x120cb9ad6678d098af3061d3609d4eb555fb2ce4,0,0,0,0,0,0,0,570808060891262693609,570808060891262693609,570808060891262693609,0,0,570808060891262693609,2931745266612907577019,2931745266612907577019
0x5bbfdb11abe1109c5c239088e62388cfc305e522,642250758858580151758,642250758858580151758,642250758858580151758,0,0,642250758858580151758,1702106478504782025899,222909974707040199016,222909974707040199016,222909974707040199016,0,0,222909974707040199016,1144894944559412669542,2847001423064194695441
0x176701e4a2cc73198f1ed95656d2bf6a63394f4a,0,0,0,0,0,0,0,548688069812322699619,548688069812322699619,548688069812322699619,0,0,548688069812322699619,2818134083473789568235,2818134083473789568235
0x5f339d24f72d02e3fc9020fa9f16695c554d6867,0,0,0,0,0,0,0,505635923092304578645,570704227065367079831,538170075078835829238,0,0,538170075078835829238,2764112279321248337655,2764112279321248337655
0x31c351c33f8657986d7c45b384ea73b2151511f0,1034045959072863917727,1034045959072863917727,1034045959072863917727,0,0,1034045959072863917727,2740450364181144450911,0,0,0,0,0,0,0,2740450364181144450911
0xb0b52df07cc0f2520f78a8f7130bb5b79f991111,983170052178929414395,983170052178929414395,983170052178929414395,0,0,983170052178929414395,2605617964951484688349,0,0,0,0,0,0,0,2605617964951484688349
0x510218869100f87c6f039f3e35fec94ad35d7153,0,0,0,0,0,0,0,507088601373266398824,507088601373266398824,507088601373266398824,0,0,507088601373266398824,2604473742904336400183,2604473742904336400183
0x7fe5e77da72fa1fd2dbce564094162f4c4fc5b71,982348778352809308713,982348778352809308713,982348778352809308713,0,0,982348778352809308713,2603441407772245527435,0,0,0,0,0,0,0,2603441407772245527435
0x04c956c1f3229663ec09f7e06913550e03d83b5d,220038764511251756255,282702882317117229916,251370823414184493085,0,0,251370823414184493085,666188246785049291040,372334696071492529248,372334696071492529248,372334696071492529248,0,0,372334696071492529248,1912359964046300754549,2578548210831350045589
0x264dea1edaef76e96d5691b49c6ba90b883d0ab7,0,0,0,0,0,0,0,500000277338903359175,500000277338903359175,500000277338903359175,0,0,500000277338903359175,2568067178491923341997,2568067178491923341997
0xba69686c4a6864885b6accc36ad296540e5238f1,30579909818678282815,30579909818678282815,30579909818678282815,0,0,30579909818678282815,81043520613302166286,484199801103377888475,484199801103377888475,484199801103377888475,0,0,484199801103377888475,2486913854655881851351,2567957375269184017637
